element_id,extension_value
5203,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pl/plane_of_surgical_excision_type_de.asp?shownav=0
5204,DISTANCE FROM DENTATE LINE
5204,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_from_dentate_line_de.asp?shownav=0
5205,DISTANCE BEYOND MUSCULARIS PROPRIA
5205,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_beyond_muscularis_propria_de.asp?shownav=0
5206,PREOPERATIVE THERAPY RESPONSE TYPE
5206,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pot/preoperative_therapy_response_type_de.asp?shownav=0
5207,MARGIN INVOLVED INDICATION CODE (CIRCUMFERENTIAL MARGIN)
5207,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(circumferential_margin)_de.asp?shownav=0
5208,DISTANCE TO CIRCUMFERENTIAL EXCISION MARGIN
5208,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_circumferential_excision_margin_de.asp?shownav=0
5299,TUMOUR RUPTURE INDICATOR
5299,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_rupture_indicator_de.asp?shownav=0
5300,ANAPLASTIC NEPHROBLASTOMA TYPE
5300,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anaplastic_nephroblastoma_type_de.asp?shownav=0
5301,TUMOUR INVASION INDICATOR (PERIRENAL FAT)
5301,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(perirenal_fat)_de.asp?shownav=0
5302,TUMOUR INVASION INDICATOR (RENAL SINUS)
5302,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(renal_sinus)_de.asp?shownav=0
5304,RENAL VEIN TUMOUR INDICATOR
5304,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ren/renal_vein_tumour_indicator_de.asp?shownav=0
5307,VIABLE TUMOUR INDICATOR
5307,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/v/viable_tumour_indicator_de.asp?shownav=0
5308,TUMOUR LOCAL STAGE
5308,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_local_stage_de.asp?shownav=0
5315,MICROSCOPIC INVOLVEMENT INDICATION CODE (FALLOPIAN TUBE)
5315,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(fallopian_tube)_de.asp?shownav=0
5316,MICROSCOPIC INVOLVEMENT INDICATION CODE (OVARIAN)
5316,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indication_code_(ovarian)_de.asp?shownav=0
5317,MICROSCOPIC INVOLVEMENT INDICATOR (SEROSA)
5317,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(serosa)_de.asp?shownav=0
5318,OMENTUM INVOLVEMENT INDICATION CODE
5318,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/oc/omentum_involvement_indication_code_de.asp?shownav=0
5320,CAPSULE STATUS
5320,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/capsule_status_de.asp?shownav=0
5322,OVARY SURFACE INVOLVEMENT INDICATOR
5322,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ov/ovary_surface_involvement_indicator_de.asp?shownav=0
5323,TUMOUR GRADE (GYNAECOLOGY)
5323,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_grade_(gynaecology)_de.asp?shownav=0
5324,PERITONEAL CYTOLOGY RESULT CODE
5324,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_cytology_result_code_de.asp?shownav=0
5325,PERITONEAL INVOLVEMENT INDICATOR
5325,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_involvement_indicator_de.asp?shownav=0
5328,BACKGROUND ENDOMETRIUM ABNORMALITY INDICATION CODE
5328,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_involvement_indicator_de.asp?shownav=0
5329,DISTANCE TO SEROSA
5329,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/disa/distance_to_serosa_de.asp?shownav=0
5330,MICROSCOPIC INVOLVEMENT INDICATOR (CERVICAL STROMA)
5330,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(cervical_stroma)_de.asp?shownav=0
5331,MICROSCOPIC INVOLVEMENT INDICATOR (CERVICAL SURFACE OR GLANDS)
5331,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(cervical_surface_or_glands)_de.asp?shownav=0
5332,MYOMETRIAL INVASION IDENTIFICATION CODE
5332,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/myometrial_invasion_identification_code_de.asp?shownav=0
5333,MICROSCOPIC INVOLVEMENT INDICATOR (PARAMETRIUM)
5333,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(parametrium)_de.asp?shownav=0
5334,PERITONEAL WASHINGS IDENTIFIED
5334,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/peritoneal_washings_identified_de.asp?shownav=0
5336,CERVICAL GLANDULAR INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE
5336,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_glandular_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
5337,CERVICAL INTRAEPITHELIAL NEOPLASIA PRESENCE AND GRADE
5337,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_intraepithelial_neoplasia_presence_and_grade_de.asp?shownav=0
5338,SMILE INDICATION CODE
5338,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/smile_indication_code_de.asp?shownav=0
5339,RESECTION MARGIN INVOLVEMENT INDICATOR
5339,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/resection_margin_involvement_indicator_de.asp?shownav=0
5341,INVASIVE THICKNESS
5341,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/i/inv/invasive_thickness_de.asp?shownav=0
5342,PARACERVICAL OR PARAMETRIAL INVOLVEMENT INDICATOR
5342,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/paracervical_or_parametrial_involvement_indicator_de.asp?shownav=0
5343,UNINVOLVED CERVICAL STROMA THICKNESS
5343,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/u/un/uninvolved_cervical_stroma_thickness_de.asp?shownav=0
5344,MICROSCOPIC INVOLVEMENT INDICATOR (VAGINAL)
5344,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microscopic_involvement_indicator_(vaginal)_de.asp?shownav=0
5346,CERVICAL NODE STATUS
5346,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/ce/cervical_node_status_de.asp?shownav=0
5347,NUMBER OF NODES EXAMINED (PARA-AORTIC)
5347,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(para-aortic)_de.asp?shownav=0
5348,NUMBER OF NODES POSITIVE (PARA-AORTIC)
5348,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(para-aortic)_de.asp?shownav=0
5349,NUMBER OF NODES EXAMINED (PELVIC)
5349,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(pelvic)_de.asp?shownav=0
5350,NUMBER OF NODES POSITIVE (PELVIC)
5350,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(pelvic)_de.asp?shownav=0
5351,NUMBER OF NODES EXAMINED (INGUINO-FEMORAL)
5351,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_examined_(inguino-femoral)_de.asp?shownav=0
5352,NUMBER OF NODES POSITIVE (INGUINO-FEMORAL)
5352,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(inguino-femoral)_de.asp?shownav=0
5353,EXTRANODAL SPREAD INDICATOR
5353,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ex/extranodal_spread_indicator_de.asp?shownav=0
5406,OBSERVATION DATE (HEIGHT)
5406,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/observation_date_(height)_de.asp?shownav=0
5408,PERSON HEIGHT IN METRES
5408,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_height_in_metres_de.asp?shownav=0
5409,OBSERVATION DATE (WEIGHT)
5409,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/observation_date_(weight)_de.asp?shownav=0
5410,PERSON WEIGHT
5410,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_weight_de.asp?shownav=0
5411,CANCER DENTAL ASSESSMENT DATE
5411,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_dental_assessment_date_de.asp?shownav=0
5412,CARE CONTACT DATE (DIETICIAN INITIAL)
5412,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_contact_date_(dietician_initial)_de.asp?shownav=0
5413,SURGICAL VOICE RESTORATION COMMUNICATION METHOD (PLANNED POST OPERATIVE)
5413,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sur/surgical_voice_restoration_communication_method_(planned_post_operative)_de.asp?shownav=0
5414,CLINICAL STATUS ASSESSMENT DATE (CANCER)
5414,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_status_assessment_date_(cancer)_de.asp?shownav=0
5415,PRIMARY TUMOUR STATUS
5415,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_tumour_status_de.asp?shownav=0
5416,NODAL STATUS
5416,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/nodal_status_de.asp?shownav=0
5417,METASTATIC STATUS
5417,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastatic_status_de.asp?shownav=0
5418,SURGICAL VOICE RESTORATION COMMUNICATION METHOD (PRIMARY)
5418,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sur/surgical_voice_restoration_communication_method_(primary)_de.asp?shownav=0
5419,SPEECH AND LANGUAGE ASSESSMENT DATE
5419,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/speech_and_language_assessment_date_de.asp?shownav=0
5421,MAXIMUM DEPTH OF INVASION
5421,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mat/maximum_depth_of_invasion_de.asp?shownav=0
5422,BONE INVASION INDICATION CODE
5422,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/bone_invasion_indication_code_de.asp?shownav=0
5423,CARTILAGE INVASION INDICATION CODE
5423,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/cartilage_invasion_indication_code_de.asp?shownav=0
5424,ANATOMICAL SIDE (NECK DISSECTION)
5424,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(neck_dissection)_de.asp?shownav=0
5426,HISTOLOGICAL TUMOUR GRADE (SALIVARY)
5426,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/h/he/histological_tumour_grade_(salivary)_de.asp?shownav=0
5427,MACROSCOPIC EXTRAGLANDULAR EXTENSION INDICATION CODE
5427,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/m/macroscopic_extraglandular_extension_indication_code_de.asp?shownav=0
5429,ANATOMICAL SIDE (POSITIVE NODES)
5429,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(positive_nodes)_de.asp?shownav=0
5430,LARGEST METASTASIS (LEFT NECK)
5430,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(left_neck)_de.asp?shownav=0
5431,LARGEST METASTASIS (RIGHT NECK)
5431,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/l/largest_metastasis_(right_neck)_de.asp?shownav=0
5432,EXTRACAPSULAR SPREAD INDICATION CODE
