Data item No.,Section,Sub-section,Data Item Name,Data Item DesXXXXXXXiption,Value domain,Link to existing definition,Notes from GD/JCIS,[Optional] Local identifier,A: How is the data item collected,"B. How is the data item stored, within the centre?",C. How would you describe the existing coverage?,D. How would you describe the existing quality?,E. How hard would it be to achieve full data,F. what  are the circumstances of data collection?  where and when is the data recorded?  who is responsible for data entry?,"G. is there a particular form (or data standard, or proforma) used for the collection of the data?   If so, please supply a copy or reference. ","H. if the data is stored in a local database or data warehouse, what is the name and version of the database application?",E2. Source for column E - how data established?
TEST_11,MAIN,DEMOGRAPHICS,PATIENT USUAL ADDRESS (AT DIAGNOSIS),PATIENT USUAL ADDRESS (AT DIAGNOSIS) is the PATIENT USUAL ADDRESS of the PATIENT at the time of PATIENT DIAGNOSIS.,"
",PATIENT USUAL ADDRESS (AT DIAGNOSIS),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0070,2,2,1,1,1,When Patient demographics entered.,GC 133,NEO4J,from source
TEST_12,MAIN,DEMOGRAPHICS,POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS) is the POSTCODE OF USUAL ADDRESS of the PATIENT at the time of PATIENT DIAGNOSIS.,"see POSTCODE
",POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0080,2,2,3,1,1,When Patient demographics entered.,GC 134,NEO4J,from source
TEST_13,MAIN,DEMOGRAPHICS,PERSON GENDER CODE (CURRENT),A PERSON's gender currently.,"0 : Not Known
1 : Male
2 : Female
9 : Not Specified
",PERSON GENDER CODE CURRENT,,XXXXXXX0090,1,1,1,1,1,When Patient demographics entered.,GC 135,NEO4J,from source
TEST_14,MAIN,DEMOGRAPHICS,GENERAL MEDICAL PRACTITIONER (SPECIFIED),"GENERAL MEDICAL PRACTITIONER (SPECIFIED) is the code of the GENERAL MEDICAL PRACTITIONER specified by the PATIENT.

This GENERAL MEDICAL PRACTITIONER works within the General Medical Practitioner Practice with which the PATIENT is registered.","
",GENERAL MEDICAL PRACTITIONER (SPECIFIED),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0110,2,2,1,1,1,When Patient demographics entered. Name shown. Code available in JCIS tables.,GC 136,NEO4J,from source
TEST_15,MAIN,DEMOGRAPHICS,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),"The GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION) is an ORGANISATION CODE. This is the code of the GP Practice that the PATIENT is registered with.
","
",GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0120,1,1,1,1,1,When Patient demographics entered. Address shown. Code available in JCIS tables.,GC 137,NEO4J,from source
TEST_16,MAIN,DEMOGRAPHICS,PERSON FAMILY NAME (AT BIRTH),The PATIENT's surname at birth. ,"
",PERSON FAMILY NAME (AT BIRTH),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0140,2,2,1,1,1,When Patient demographics entered. The HISS field is MaidenName (ie not strictly Surname at birth).,GC 138,NEO4J,from source
TEST_17,MAIN,DEMOGRAPHICS,ETHNIC CATEGORY,"The ethnicity of a PERSON, as specified by the PERSON.. The 16+1 ethnic data categories defined in the 2001 census is the national mandatory standard for the collection and analysis of ethnicity.
(The Office for National Statistics has developed a further breakdown of the group from that given, which may be used locally.)","White
A  : (White) British
B  : (White) Irish
C  : Any other White background
Mixed
D : White and Black Caribbean
E : White and Black AfriTEST
F : White and Asian
G : Any other mixed background
Asian or Asian British
H : Indian
J : Pakistani
K : Bangladeshi
L : Any other Asian background
Black or Black British
M : Caribbean
N : AfriTEST
P : Any other Black background
Other Ethnic Group
R : Chinese
S : Any other ethnic group
Z : Not stated
99 : Not Known
",ETHNIC CATEGORY,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0150,1,1,1,1,1,Imported from HISS but not displayed.,GC 139,NEO4J,from source
TEST_18,MAIN,REFERRALS,SOURCE OF REFERRAL FOR OUT-PATIENTS,"This identifies the source of referral of each Consultant Out-Patient Episode.
(See User Guide for further details)","Initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode
01 : following an emergency admission
02 : following a Domiciliary Consultation
10 : following an Accident And Emergency Attendance (including Minor Injuries Units and Walk In Centres)
11 : other - initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode
Not initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode
03 : referral from a GENERAL MEDICAL PRACTITIONER
92 : referral from a GENERAL DENTAL PRACTITIONER
12 : referral from a GENERAL PRACTITIONER with a Special Interest (GPwSI) or dentist with a Special Interest (DwSI)
04 : referral from an Accident And Emergency Department (including Minor Injuries Units and Walk In Centres)
05 : referral from a CONSULTANT, other than in an Accident And Emergency Department
06 : self-referral
07 : referral from a Prosthetist
13 : referral from a Specialist NURSE (Secondary Care)
14 : referral from an Allied Health Professional
15 : referral from an OPTOMETRIST
16 : referral from an Orthoptist
17 : referral from a National SXXXXXXXeening Programme
93 : referral from a Community Dental Service
97 : other - not initiated by the CONSULTANT responsible for the Consultant Out-Patient Episode
","SOURCE OF REFERRAL FOR OUT-PATIENTS
","orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX1600,1,1,1,1,1,When referral details entered.,GC 140,NEO4J,from source
TEST_19,MAIN,REFERRALS,REFERRAL TO TREATMENT PERIOD START DATE,The start date of a REFERRAL TO TREATMENT PERIOD. Date that the initial referral to Secondary care was received for this diagnosis. This may be different from TESTCER REFERRAL TO TREATMENT PERIOD START DATE if initial referral was not to the TESTcer services teams.,"
",REFERRAL TO TREATMENT PERIOD START DATE,,XXXXXXX1580,2,2,2,1,2,When referral details entered.,GC 141,NEO4J,from source
TEST_20,MAIN,REFERRALS,DATE FIRST SEEN,This is the date that the PATIENT is first seen in the Trust that receives the first referral.,"
",DATE FIRST SEEN,,XXXXXXX0230,2,2,2,1,2,When referral details entered.,GC 142,NEO4J,from source
TEST_21,MAIN,REFERRALS,CONSULTANT CODE,A code uniquely identifying a CONSULTANT. (Referred to CONSULTANT CODE).,"The CONSULTANT CODE is derived from either the GENERAL MEDICAL COUNCIL REFERENCE NUMBER for GENERAL MEDICAL PRACTITIONERS, or the GENERAL DENTAL COUNCIL REGISTRATION NUMBER for GENERAL DENTAL PRACTITIONERS (where the dentist doesn't have a GENERAL MEDICAL COUNCIL REFERENCE NUMBER).
",CONSULTANT CODE,"Imported activities do not have this field completed, but it TEST be derived from the Clinic code, which is imported. Check with VT.",XXXXXXX0210,2,2,4,4,2 - Backlog of consultant codes will need to be entered,"Visit
eg Initial visit or Radiological visit used as first seen in wait time table.   ",GC 143,NEO4J,from source
TEST_22,MAIN,REFERRALS,CARE PROFESSIONAL MAIN SPECIALTY CODE,A unique code identifying each MAIN SPECIALTY designated by Royal Colleges. This is the same as the OCCUPATION CODES desXXXXXXXibing specialties. (TEST be derived from consultant code).,"Main Specialty Code
",CARE PROFESSIONAL MAIN SPECIALTY CODE,"NOT SHOWN ON JCIS
(A field is available in Consultants table, but often empty)",XXXXXXX0220,4,4,4,4,3,"NOT SHOWN ON JCIS
(A field is available in Consultants table, but often empty)",GC 144,NEO4J,from source
TEST_23,MAIN,REFERRALS,ORGANISATION SITE CODE (PROVIDER FIRST SEEN),The  ORGANISATION SITE CODE of the Health Care Provider at the first contact with the PATIENT.,"see ORGANISATION SITE CODE
",SITE CODE (OF PROVIDER FIRST SEEN),Name shown. Code available in JCIS tables.,XXXXXXX1410,2,2,2,3,2,"Visit
eg Initial visit or Radiological visit used as first seen in wait time table.   ",GC 145,NEO4J,from source
TEST_24,MAIN,REFERRALS,DATE FIRST SEEN (TESTCER SPECIALIST),This is the date that the PATIENT is first seen by the appropriate specialist for TESTcer care within a TESTcer Care Spell. This is the PERSON or PERSONS who are most able to progress the diagnosis of the primary tumour. ,"
",DATE FIRST SEEN (TESTCER SPECIALIST),How TEST this be pinned down?,XXXXXXX1360,2,2,2,3,2,"Visit
eg Initial visit or Radiological visit used as first seen in wait time table.   ",GC 146,NEO4J,from source
TEST_25,MAIN,REFERRALS,ORGANISATION SITE CODE (PROVIDER FIRST TESTCER SPECIALIST),The  ORGANISATION SITE CODE of the ORGANISATION acting as Health Care Provider where the PATIENT is first seen by an appropriate TESTcer specialist on the DATE FIRST SEEN (TESTCER SPECIALIST).,"see ORGANISATION SITE CODE
",SITE CODE (OF PROVIDER FIRST TESTCER SPECIALIST),Name shown. Code available in JCIS tables.,XXXXXXX1400,2,2,2,3,2,"Visit
eg Initial visit or Radiological visit used as first seen in wait time table.   ",GC 147,NEO4J,from source
TEST_26,MAIN,REFERRALS,TESTCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,"TESTCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS is recorded to enable tracking of the status of REFERRAL REQUESTS for PATIENTS referred with a suspected TESTcer, or referred with breast symptoms with TESTcer not originally suspected.
For COSD this TEST be used for all patients regardless of referral route.","14 : Suspected primary TESTcer
09 : Under investigation following symptomatic referral, TESTcer not suspected (breast referrals only) (see note 1)
03 : No new TESTcer diagnosis identified by the Healthcare Provider
10 : Diagnosis of new TESTcer confirmed - first treatment not yet planned
11 : Diagnosis of new TESTcer confirmed - English NHS first treatment planned
07 : Diagnosis of TESTcer confirmed - no English NHS treatment planned
08 : First treatment commenced (English NHS only)
12 : Diagnosis of new TESTcer confirmed - subsequent treatment not yet planned
13 : Diagnosis of new TESTcer confirmed - subsequent English NHS treatment planned
21 : Subsequent treatment commenced (English NHS only)
15 : Suspected recurrent TESTcer
16 : Diagnosis of recurrent TESTcer confirmed - first treatment not yet planned
17 : Diagnosis of recurrent TESTcer confirmed - English NHS first treatment planned
18 : Diagnosis of recurrent TESTcer confirmed - no English NHS treatment planned
19 : Diagnosis of recurrent TESTcer confirmed - subsequent treatment not yet planned
20 : Diagnosis of recurrent TESTcer confirmed - subsequent English NHS treatment planned
",TESTCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,,XXXXXXX0270,TBA,TBA,TBA,TBA,3,When referral details entered.,GC 148,NEO4J,from source
TEST_27,MAIN,REFERRALS,TESTCER SYMPTOMS FIRST NOTED DATE,"Record the time when the symptoms were first noted related to this diagnosis as agreed between the consultant and the patient.   Depending on the length of time this should normally include at least month and year. Day should also be included if known. If symptoms have been present for a long time then it may only be possible to record the year. This will normally be recorded by the consultant first seeing the patient in secondary care.

In these circumstances the Format/Length will be:
DATE (including year, month and day) - CCYY-MM-DD
    YEAR AND MONTH - YYYY-MM
    Year only - YYYY.","
",TESTCER SYMPTOMS FIRST NOTED DATE,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX2000,TBA,TBA,TBA,TBA,4,Calculated from date of visit / duration of symptoms,GC 149,NEO4J,from source
TEST_28,MAIN,IMAGING,SITE CODE (OF IMAGING),This is the ORGANISATION SITE CODE of the Organisation  where the imaging took place.,"see ORGANISATION SITE CODE
",SITE CODE (OF IMAGING),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0310,1,1,1,2,5,Name shown. Code available in JCIS tables.,GC 150,NEO4J,from source
TEST_29,MAIN,IMAGING,PROCEDURE DATE (TESTCER IMAGING),The DATE the TESTcer Imaging was carried out.,"
",PROCEDURE DATE (TESTCER IMAGING),,XXXXXXX0320,1,2,2,2,6,,GC 151,NEO4J,from source
TEST_30,MAIN,IMAGING,IMAGING CODE (NICIP)*,"*IMAGING CODE (NICIP)
and/or
 (TESTCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING))
is required.

IMAGING CODE (NICIP) is the National Interim Clinical Imaging Procedure Code Set code which is used to identify both the test modality and body site of the test.
","
",IMAGING CODE (NICIP),"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX1610,TBA,TBA,TBA,TBA,7,"See also alternative  mandatory item for non-imported radiology activities
Ie  (TESTCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING)) ",GC 152,NEO4J,from source
TEST_31,MAIN,IMAGING,TESTCER IMAGING MODALITY*,"*IMAGING CODE (NICIP)
and/or
 (TESTCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING))
is required.

The type of imaging procedure used during an Imaging or Radiodiagnostic Event for a TESTcer Care Spell.
NB: PET STEST also includes PET-CT STEST.
","C01X : Standard Radiography
C01M : Mammogram
C02X : CT STEST
C02C : Virtual colonoscopy
C03X : MRI STEST
C04X : PET STEST
C05X : Ultrasound STEST
C06X : Nuclear Medicine imaging
C08A : Angiography
C08B : Barium
C08U : Urography (IV and retrograde)
C09X : Intervention radiography.
CXXX : Other
",TESTCER IMAGING MODALITY,"orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0330,2,2,3,3,8,Radiology - see title of activity,GC 153,NEO4J,from source
TEST_32,MAIN,IMAGING,IMAGING ANATOMICAL SITE*,"*IMAGING CODE (NICIP)
and/or
 (TESTCER IMAGING MODALITY and IMAGING ANATOMICAL SITE and ANATOMICAL SIDE (IMAGING))
is required.

A classification of the part of the body that is the subject of an Imaging Or Radiodiagnostic Event.","The coding frame used is the OPCS-4 'Z' coding, plus two additional local codes:
Whole body CZ001
Multiple sites CZ002
","IMAGING ANATOMICAL SITE
","orem ipsum dolor sit amet, consectetur adipiscing elit. Praesent blandit erat id euismod gravida. Mauris tincidunt hendrerit mauris, in ullamcorper libero commodo id. Suspendisse potenti. Ut malesuada id metus sit amet semper. Praesent fermentum nulla lacus, vel semper diam rhoncus bibendum. Nulla tincidunt risus accumsan ornare pretium. Pellentesque suscipit tellus at pellentesque fermentum. Proin posuere urna vitae odio elementum, ut mattis justo varius. Aenean id neque odio. Mauris lobortis nisl eros, sed scelerisque nunc gravida in. Aenean elementu",XXXXXXX0340,4,4,4,4,9,"Typically not recorded.  Unless the ATM makes it clear what the site is, the site of imaging is not recorded. Exceptions are mammogram (site recorded as breast);BRT ultrasound - user has to record site.
[Usage for UGI CT sTEST (recorded 4 times on Live patients) - is misleading usage of backend table as front end desXXXXXXXiption is 'Primary tumour location' on CT sTEST.Findings tab].

(Findings site is recordable).",GC 154,NEO4J,from source
